gameid,gamedate,hometeamid,visitorteamid
41400101,2015-04-19,1610612737,1610612751
41400102,2015-04-22,1610612737,1610612751
41400103,2015-04-25,1610612751,1610612737
41400104,2015-04-27,1610612751,1610612737
41400105,2015-04-29,1610612737,1610612751
41400106,2015-05-01,1610612751,1610612737
41400111,2015-04-19,1610612739,1610612738
41400112,2015-04-21,1610612739,1610612738
41400113,2015-04-23,1610612738,1610612739
41400114,2015-04-26,1610612738,1610612739
41400121,2015-04-18,1610612741,1610612749
41400122,2015-04-20,1610612741,1610612749
41400123,2015-04-23,1610612749,1610612741
41400124,2015-04-25,1610612749,1610612741
41400125,2015-04-27,1610612741,1610612749
41400126,2015-04-30,1610612749,1610612741
41400131,2015-04-18,1610612761,1610612764
41400132,2015-04-21,1610612761,1610612764
41400133,2015-04-24,1610612764,1610612761
41400134,2015-04-26,1610612764,1610612761
41400141,2015-04-18,1610612744,1610612740
41400142,2015-04-20,1610612744,1610612740
41400143,2015-04-23,1610612740,1610612744
41400144,2015-04-25,1610612740,1610612744
41400151,2015-04-18,1610612745,1610612742
41400152,2015-04-21,1610612745,1610612742
41400153,2015-04-24,1610612742,1610612745
41400154,2015-04-26,1610612742,1610612745
41400155,2015-04-28,1610612745,1610612742
41400161,2015-04-19,1610612746,1610612759
41400162,2015-04-22,1610612746,1610612759
41400163,2015-04-24,1610612759,1610612746
41400164,2015-04-26,1610612759,1610612746
41400165,2015-04-28,1610612746,1610612759
41400166,2015-04-30,1610612759,1610612746
41400167,2015-05-02,1610612746,1610612759
41400171,2015-04-19,1610612763,1610612757
41400172,2015-04-22,1610612763,1610612757
41400173,2015-04-25,1610612757,1610612763
41400174,2015-04-27,1610612757,1610612763
41400175,2015-04-29,1610612763,1610612757
41400201,2015-05-03,1610612737,1610612764
41400202,2015-05-05,1610612737,1610612764
41400203,2015-05-09,1610612764,1610612737
41400204,2015-05-11,1610612764,1610612737
41400205,2015-05-13,1610612737,1610612764
41400206,2015-05-15,1610612764,1610612737
41400211,2015-05-04,1610612739,1610612741
41400212,2015-05-06,1610612739,1610612741
41400213,2015-05-08,1610612741,1610612739
41400214,2015-05-10,1610612741,1610612739
41400215,2015-05-12,1610612739,1610612741
41400216,2015-05-14,1610612741,1610612739
41400221,2015-05-03,1610612744,1610612763
41400222,2015-05-05,1610612744,1610612763
41400223,2015-05-09,1610612763,1610612744
41400224,2015-05-11,1610612763,1610612744
41400225,2015-05-13,1610612744,1610612763
41400226,2015-05-15,1610612763,1610612744
41400231,2015-05-04,1610612745,1610612746
41400232,2015-05-06,1610612745,1610612746
41400233,2015-05-08,1610612746,1610612745
41400234,2015-05-10,1610612746,1610612745
41400235,2015-05-12,1610612745,1610612746
41400236,2015-05-14,1610612746,1610612745
41400237,2015-05-17,1610612745,1610612746
41400301,2015-05-20,1610612737,1610612739
41400302,2015-05-22,1610612737,1610612739
41400303,2015-05-24,1610612739,1610612737
41400304,2015-05-26,1610612739,1610612737
41400311,2015-05-19,1610612744,1610612745
41400312,2015-05-21,1610612744,1610612745
41400313,2015-05-23,1610612745,1610612744
41400314,2015-05-25,1610612745,1610612744
41400315,2015-05-27,1610612744,1610612745
41400401,2015-06-04,1610612744,1610612739
41400402,2015-06-07,1610612744,1610612739
41400403,2015-06-09,1610612739,1610612744
41400404,2015-06-11,1610612739,1610612744
41400405,2015-06-14,1610612744,1610612739
41400406,2015-06-16,1610612739,1610612744
