playerid,firstname,lastname,jerseynumber,position,teamid
1495,Tim,Duncan,21,F,1610612759
1713,Vince,Carter,15,G-F,1610612763
1717,Dirk,Nowitzki,41,F,1610612742
1718,Paul,Pierce,34,F,1610612764
1737,Nazr,Mohammed,48,C,1610612741
1882,Elton,Brand,7,F-C,1610612737
1890,Shawn,Marion,31,G-F,1610612739
1891,Jason,Terry,31,G,1610612745
1938,Manu,Ginobili,20,G,1610612759
2034,Mike,Miller,18,G-F,1610612739
2037,Jamal,Crawford,11,G,1610612746
2045,Hedo,Turkoglu,15,F,1610612746
2199,Tyson,Chandler,6,C,1610612742
2200,Pau,Gasol,16,F-C,1610612741
2207,Joe,Johnson,7,F-G,1610612751
2210,Richard,Jefferson,24,F,1610612742
2216,Zach,Randolph,50,F,1610612763
2217,Brendan,Haywood,33,C,1610612739
2222,Gerald,Wallace,45,F,1610612738
2225,Tony,Parker,9,G,1610612759
2399,Mike,Dunleavy,34,F,1610612741
2400,Drew,Gooden,90,F,1610612764
2403,Nene,Hilario,42,F-C,1610612764
2405,Amar'e,Stoudemire,1,C-F,1610612742
2440,Matt,Barnes,22,F,1610612746
2446,Rasual,Butler,8,F,1610612764
2544,LeBron,James,23,F,1610612739
2549,Chris,Kaman,35,C,1610612757
2550,Kirk,Hinrich,12,G,1610612741
2563,Dahntay,Jones,31,G-F,1610612746
2564,Boris,Diaw,33,C-F,1610612759
2570,Kendrick,Perkins,3,C,1610612739
2571,Leandro,Barbosa,19,G,1610612744
2581,Steve,Blake,5,G,1610612757
2585,Zaza,Pachulia,27,C,1610612749
2588,Matt,Bonner,15,C-F,1610612759
2592,James,Jones,1,F,1610612739
2594,Kyle,Korver,26,G,1610612737
2730,Dwight,Howard,12,C,1610612745
2733,Shaun,Livingston,34,G,1610612744
2734,Devin,Harris,20,G,1610612742
2738,Andre,Iguodala,9,G-F,1610612744
2743,Kris,Humphries,43,F,1610612764
2746,Josh,Smith,5,F,1610612745
2747,J.R.,Smith,5,G-F,1610612739
2754,Tony,Allen,9,F-G,1610612763
2757,Beno,Udrih,19,G,1610612763
2760,Anderson,Varejao,17,C,1610612739
2772,Trevor,Ariza,1,F,1610612745
101106,Andrew,Bogut,12,C,1610612744
101108,Chris,Paul,3,G,1610612746
101109,Raymond,Felton,2,G,1610612742
101110,Martell,Webster,9,F-G,1610612764
101111,Charlie,Villanueva,3,F,1610612742
101114,Deron,Williams,8,G,1610612751
101127,Jarrett,Jack,0,G,1610612751
101135,David,Lee,10,F-C,1610612744
101138,Brandon,Bass,30,F-C,1610612738
101141,Ersan,Ilyasova,7,F,1610612749
101145,Monta,Ellis,11,G,1610612742
101150,Lou,Williams,23,G,1610612761
101161,Amir,Johnson,15,F,1610612761
101162,Marcin,Gortat,4,C,1610612764
101187,Alan,Anderson,6,G-F,1610612751
101198,Will,Bynum,1,G,1610612764
101236,Charles,Hayes,44,C-F,1610612761
200746,LaMarcus,Aldridge,12,F,1610612757
200755,JJ,Redick,4,G,1610612746
200757,Thabo,Sefolosha,25,F-G,1610612737
200765,Rajon,Rondo,9,G,1610612742
200768,Kyle,Lowry,7,G,1610612761
200777,Joel,Freeland,19,C-F,1610612757
200794,Paul,Millsap,4,F,1610612737
200826,Jose Juan,Barea,5,G,1610612742
201143,Al,Horford,15,C-F,1610612737
201144,Mike,Conley,11,G,1610612763
201145,Jeff,Green,32,F,1610612763
201147,Corey,Brewer,33,G-F,1610612745
201149,Joakim,Noah,13,C,1610612741
201150,Spencer,Hawes,10,F-C,1610612746
201152,Thaddeus,Young,30,F,1610612751
201158,Marco,Belinelli,3,F-G,1610612759
201162,Jared,Dudley,9,F-G,1610612749
201166,Aaron,Brooks,0,G,1610612741
201167,Arron,Afflalo,4,G,1610612757
201168,Tiago,Splitter,22,C,1610612759
201175,Glen,Davis,0,F-C,1610612746
201188,Marc,Gasol,33,C,1610612763
201196,Ramon,Sessions,7,G,1610612764
201564,O.J.,Mayo,0,G,1610612749
201565,Derrick,Rose,1,G,1610612741
201567,Kevin,Love,0,F,1610612739
201569,Eric,Gordon,10,G,1610612740
201572,Brook,Lopez,11,C,1610612751
201573,Jerryd,Bayless,19,G,1610612749
201575,Brandon,Rush,4,G-F,1610612744
201577,Robin,Lopez,42,C,1610612757
201578,Marreese,Speights,5,C-F,1610612744
201582,Alexis,Ajinca,42,C,1610612740
201583,Ryan,Anderson,33,F,1610612740
201584,Courtney,Lee,5,G,1610612763
201585,Kosta,Koufos,41,C,1610612763
201587,Nicolas,Batum,88,F,1610612757
201595,Joey,Dorsey,8,C-F,1610612745
201599,DeAndre,Jordan,6,C,1610612746
201600,Omer,Asik,3,C,1610612740
201880,Greg,Stiemsma,34,C,1610612761
201933,Blake,Griffin,32,F,1610612746
201935,James,Harden,13,G,1610612745
201936,Tyreke,Evans,1,G-F,1610612740
201939,Stephen,Curry,30,G,1610612744
201942,DeMar,DeRozan,10,G,1610612761
201946,Tyler,Hansbrough,50,F-C,1610612761
201947,Earl,Clark,55,F,1610612751
201948,Austin,Daye,3,F,1610612737
201949,James,Johnson,3,F,1610612761
201950,Jrue,Holiday,11,G,1610612740
201952,Jeff,Teague,0,G,1610612737
201959,Taj,Gibson,22,F,1610612741
201960,DeMarre,Carroll,5,F,1610612737
201962,Toney,Douglas,16,G,1610612740
201965,Jeff,Ayres,11,F-C,1610612759
201967,Dante,Cunningham,44,F,1610612740
201973,Jonas,Jerebko,8,F,1610612738
201979,Nick,Calathes,12,G,1610612763
201980,Danny,Green,14,G-F,1610612759
201988,Patty,Mills,8,G,1610612759
201991,Lester,Hudson,14,G,1610612746
202066,Garrett,Temple,17,G,1610612764
202087,Alonzo,Gee,33,F,1610612757
202322,John,Wall,2,G,1610612764
202323,Evan,Turner,11,G-F,1610612738
202327,Ekpe,Udoh,13,F,1610612746
202329,Al-Farouq,Aminu,7,F,1610612742
202335,Patrick,Patterson,54,F,1610612761
202337,Luke,Babbitt,8,F,1610612740
202338,Kevin,Seraphin,13,C,1610612764
202340,Avery,Bradley,0,G,1610612738
202347,Quincy,Pondexter,20,F-G,1610612740
202349,Greivis,Vasquez,21,G,1610612761
202361,Landry,Fields,2,G-F,1610612761
202366,Jerome,Jordan,9,C,1610612751
202389,Timofey,Mozgov,20,C,1610612739
202681,Kyrie,Irving,2,G,1610612739
202684,Tristan,Thompson,13,C-F,1610612739
202685,Jonas,Valanciunas,17,C,1610612761
202690,Jimmer,Fredette,32,G,1610612740
202691,Klay,Thompson,11,G,1610612744
202695,Kawhi,Leonard,2,F,1610612759
202697,Iman,Shumpert,4,G,1610612739
202703,Nikola,Mirotic,44,F,1610612741
202706,Jordan,Hamilton,1,G-F,1610612746
202708,Norris,Cole,30,G,1610612740
202709,Cory,Joseph,5,G,1610612759
202710,Jimmy,Butler,21,G-F,1610612741
202711,Bojan,Bogdanovic,44,G-F,1610612751
202714,Shelvin,Mack,8,G,1610612737
202718,Chandler,Parsons,25,F,1610612742
202720,Jon,Leuer,30,F,1610612763
202721,Darius,Morris,14,G,1610612751
202734,E'Twaun,Moore,55,G,1610612741
202738,Isaiah,Thomas,4,G,1610612738
202962,Greg,Smith,4,C,1610612742
203076,Anthony,Davis,23,F-C,1610612740
203078,Bradley,Beal,3,G,1610612764
203081,Damian,Lillard,0,G,1610612757
203082,Terrence,Ross,31,F-G,1610612761
203084,Harrison,Barnes,40,F,1610612744
203085,Austin,Rivers,25,G,1610612746
203086,Meyers,Leonard,11,C,1610612757
203089,John,Henson,31,C-F,1610612749
203092,Tyler,Zeller,44,C-F,1610612738
203093,Terrence,Jones,6,F,1610612745
203096,Jared,Sullinger,7,F,1610612738
203098,John,Jenkins,12,G,1610612737
203101,Miles,Plumlee,21,C-F,1610612749
203105,Festus,Ezeli,31,C,1610612744
203108,Bernard,James,55,C,1610612742
203109,Jae,Crowder,99,F,1610612738
203110,Draymond,Green,23,F,1610612744
203114,Khris,Middleton,22,G-F,1610612749
203118,Mike,Scott,32,F,1610612737
203123,Kostas,Papanikolaou,16,F,1610612745
203141,Mirza,Teletovic,33,F,1610612751
203143,Pablo,Prigioni,9,G,1610612745
203145,Kent,Bazemore,24,G,1610612737
203200,Justin,Holiday,7,G,1610612744
203210,JaMychal,Green,0,F,1610612763
203268,Jorge,Gutierrez,13,G,1610612749
203382,Aron,Baynes,16,C-F,1610612759
203459,Allen,Crabbe,23,F,1610612757
203468,CJ,McCollum,3,G,1610612757
203471,Dennis,Schroder,17,G,1610612737
203482,Kelly,Olynyk,41,C-F,1610612738
203486,Mason,Plumlee,1,C-F,1610612751
203487,Michael,Carter-Williams,5,G,1610612749
203488,Mike,Muscala,31,F-C,1610612737
203490,Otto,Porter,22,F,1610612764
203503,Tony,Snell,20,F,1610612741
203507,Giannis,Antetokounmpo,34,F,1610612749
203515,Phil,Pressey,26,G,1610612738
203521,Matthew,Dellavedova,8,G,1610612739
203540,Gigi,Datome,70,F,1610612738
203544,Pero,Antic,6,F-C,1610612737
203893,Russ,Smith,2,G,1610612763
203898,Tyler,Ennis,11,G,1610612749
203900,Markel,Brown,22,G,1610612751
203909,KJ,McDaniels,32,G-F,1610612745
203910,Nick,Johnson,3,G,1610612745
203919,Jordan,Adams,3,G,1610612763
203925,Joe,Harris,12,G,1610612739
203926,Doug,McDermott,3,F,1610612741
203928,Cory,Jefferson,21,F,1610612751
203935,Marcus,Smart,36,G,1610612738
203939,Dwight,Powell,8,F,1610612742
203946,Cameron,Bairstow,41,F-C,1610612741
203948,Johnny,O'Bryant,3,F,1610612749
203949,James Michael,McAdoo,20,F,1610612744
203991,Clint,Capela,15,C,1610612745
204025,Tim,Frazier,10,G,1610612757
