teamid,name,abbreviation
1610612737,Atlanta Hawks,ATL
1610612738,Boston Celtics,BOS
1610612739,Cleveland Cavaliers,CLE
1610612740,New Orleans Pelicans,NOP
1610612741,Chicago Bulls,CHI
1610612742,Dallas Mavericks,DAL
1610612744,Golden State Warriors,GSW
1610612745,Houston Rockets,HOU
1610612746,Los Angeles Clippers,LAC
1610612749,Milwaukee Bucks,MIL
1610612751,Brooklyn Nets,BKN
1610612757,Portland Trail Blazers,POR
1610612759,San Antonio Spurs,SAS
1610612761,Toronto Raptors,TOR
1610612763,Memphis Grizzlies,MEM
1610612764,Washington Wizards,WAS
